"id","created_at","source","original_text","lang","favorite_count","retweet_count","original_author","hashtags","user_mentions"
"1245803298671788033","Thu Apr 02 20:00:26 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @nuriapiera: Tras solicitud del Gobierno, Banco Mundial presta a RD US$150 MM para combatir COVID-19 https://t.co/9y2xhDvyi4 #NDigital h…","es","0","5","josegervalle","NDigital","nuriapiera"
"1245803290295701504","Thu Apr 02 20:00:24 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Diputados y senadores del PSOE donarán parte de su nómina a la lucha contra el coronavirus https://t.co/cSHOzA752t","es","0","1","guizegalvan","",""
"1245803281730994179","Thu Apr 02 20:00:22 +0000 2020","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @bbcmundo: El avión ruso con equipos médicos aterrizó este miércoles en el aeropuerto John F. Kennedy, en Nueva York, para ayudar a EE.U…","es","0","11","gem_mirri","","bbcmundo"
"1245803273531113474","Thu Apr 02 20:00:20 +0000 2020","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @CarlosAlvQ: Necesitamos hacer un esfuerzo excepcional para quedarnos en casa y aplanar la curva del #COVID19. Tenemos que evitar la sat…","es","0","2194","CarballoBea","COVID19","CarlosAlvQ"
"1245803264911835138","Thu Apr 02 20:00:18 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @andreapetro91: Para todas las personas que arremeten contra petro por exagerar y provocar pánico en la gente...Espero de todo corazón q…","es","0","1760","chernandez12345","","andreapetro91"
"1245803256556720131","Thu Apr 02 20:00:16 +0000 2020","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @cristiancrespoj: El mundo no habla de otra cosa que de la pandemia del #coronavirus, los infectados aumentan, los fallecidos aumentan,…","es","0","5","BENJAMINCARACAS","coronavirus","cristiancrespoj"
"1245803248344326145","Thu Apr 02 20:00:14 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @LMRRelsalvador: Otra muerte aparentemente por negligencia. Una cosa son los fallecimientos como consecuencia del COVID-19 (Dios nos ayu…","es","0","149","robesmahan","","LMRRelsalvador"
"1245803239942926336","Thu Apr 02 20:00:12 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Alexand31693342: @invntario Entre el @Granma_Digital diciéndonos brutos ignorantes y @PortalCubaSi y @ETECSA_Cuba mercenaruis. No me qu…","es","0","156","anita_adry","","Alexand31693342, invntario, Granma_Digital, PortalCubaSi, ETECSA_Cuba"
"1245803231353192448","Thu Apr 02 20:00:10 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @revistaetcetera: Como parte de las medidas implementadas por @Televisa en materia de responsabilidad social, y en este caso, ante la si…","es","0","0","MyriaRobles","","revistaetcetera, Televisa"
"1245803222926835714","Thu Apr 02 20:00:08 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ElpremaArturo: El presidente del banco Santander falleció a consecuencia del covid-19. Su hija expresó "" somos adinerados, pero mi papá…","es","0","2","Fer_2897","","ElpremaArturo"
